,Main_Workers__Total___Persons,Main_Workers__Total__Males,Main_Workers__Total__Females,Main_Workers__Rural___Persons,Main_Workers__Rural__Males,Main_Workers__Rural__Females,Main_Workers__Urban___Persons,Main_Workers__Urban__Males,Main_Workers__Urban__Females,Marginal_Workers__Total___Persons,Marginal_Workers__Total__Males,Marginal_Workers__Total__Females,Marginal_Workers__Rural___Persons,Marginal_Workers__Rural__Males,Marginal_Workers__Rural__Females,Marginal_Workers__Urban___Persons,Marginal_Workers__Urban__Males,Marginal_Workers__Urban__Females,TotalWorkers,MaleFemaleRatio,Latitude,Longitude
Marginal_Workers__Rural___Persons,0.534919565705901,0.48957568437274507,0.5368862341615014,0.6828266358001184,0.620757792769578,0.6372989679794554,0.3512109090403766,0.33217641844747076,0.32247888623258997,0.9641966282966222,0.8226816133813724,0.9128454937041247,1,0.8858382491712836,0.9200366901891509,0.5763582422774517,0.5063750669869956,0.5294705688517319,0.6481383244106791,-0.014106070281138606,-0.004712334576687512,0.015361729966225635
Marginal_Workers__Rural__Males,0.6501244636431823,0.6380443330884227,0.4678324733744972,0.793379294206129,0.7866948576023685,0.5123530648699911,0.4535748118885674,0.4487174326088706,0.322568180151042,0.8914231105640009,0.9535856545280114,0.6497013163727751,0.8858382491712836,1,0.6331958223182778,0.6255054749159052,0.635436420274294,0.4461586741153192,0.732884445307714,0.03295982499423574,-0.0022511539024193464,0.020334022873555478
Marginal_Workers__Rural__Females,0.34328783648555444,0.2778508073874999,0.5005097668441496,0.46903720912487756,0.3711446279308852,0.6304122888438458,0.20282383864937767,0.175174227041479,0.2655278024074841,0.8555965736698361,0.5670396650481595,0.9740658161283081,0.9200366901891509,0.6331958223182778,1,0.4332021157930159,0.3080762855813398,0.5064426645020847,0.46225990017338453,-0.05136422605762935,-0.005959628477927546,0.008453393074221313
Marginal_Workers__Urban___Persons,0.7695786616331876,0.7359286886957499,0.6368434624930904,0.6392150307579434,0.6187353624483579,0.4654199880286744,0.7564803075516174,0.7220109358532164,0.6635105995854295,0.7724338383999629,0.8047772488556368,0.584638544047849,0.5763582422774517,0.6255054749159052,0.4332021157930159,1,0.9316139476994335,0.8393162429110866,0.8122431584122365,0.012865005938965238,-0.0029429498466891275,0.007533311722580837
Marginal_Workers__Urban__Males,0.8204847036846493,0.8241946725110006,0.5090669862174,0.6627290650486625,0.677664102247322,0.35644468950748054,0.8202592022136597,0.8194316173762878,0.545464969180526,0.6958535831443031,0.8384552928093266,0.41247693527599416,0.5063750669869956,0.635436420274294,0.3080762855813398,0.9316139476994335,1,0.5843318285188587,0.8410025701261106,0.05357474652370053,-0.0023489172622325034,0.006533640514662751
Marginal_Workers__Urban__Females,0.49105414894647414,0.41037069230459844,0.6604962663796293,0.4359455302199682,0.3678785818837786,0.5060302634278413,0.46214526454381183,0.38641946462594945,0.6655953276099833,0.6838510536069173,0.5427658386958075,0.6884107094621942,0.5294705688517319,0.4461586741153192,0.5064426645020847,0.8393162429110866,0.5843318285188587,1,0.5556256365554391,-0.051411338417578306,-0.00305757531919378,0.007047537181594765
TotalWorkers,0.9892879656576825,0.9682754280243305,0.723185392994392,0.9068000946498195,0.8951703217657354,0.5995083949633914,0.9101589475391149,0.8925274211625452,0.6848108440333099,0.7672897445606099,0.8452268499179076,0.5346393457680454,0.6481383244106791,0.732884445307714,0.46225990017338453,0.8122431584122365,0.8410025701261106,0.5556256365554391,1,0.047037258109586116,-0.007939204537404283,0.009475282629524366
MaleFemaleRatio,0.056293820757695595,0.08011563719183129,-0.06622344290542456,0.05101751835799056,0.07830613434839266,-0.06369106925051612,0.052217494695663384,0.07084547733553162,-0.05420512918002041,-0.0067878949490310005,0.04415530278259156,-0.05669677679057586,-0.014106070281138606,0.03295982499423574,-0.05136422605762935,0.012865005938965238,0.05357474652370053,-0.051411338417578306,0.047037258109586116,1,-0.0016128874035723072,0.0013053298811927603
Latitude,-0.008189773054664317,-0.006164187427815447,-0.013934071509097886,-0.014309215487127984,-0.0107618117011714,-0.021188020144977514,-0.002555204061408578,-0.002095747593313793,-0.003874156972632504,-0.00461726683587061,-0.002504843155155717,-0.005815399998172922,-0.004712334576687512,-0.0022511539024193464,-0.005959628477927546,-0.0029429498466891275,-0.0023489172622325034,-0.00305757531919378,-0.007939204537404283,-0.0016128874035723072,1,0.1860441626327042
Longitude,0.007754694866682334,0.007300933180707934,0.006909415685313651,0.009635597579752662,0.009666225107918872,0.005832717909697378,0.005284223423520126,0.0046639703192433175,0.006441294916453451,0.014383197695405962,0.01689931822871319,0.008960072532776892,0.015361729966225635,0.020334022873555478,0.008453393074221313,0.007533311722580837,0.006533640514662751,0.007047537181594765,0.009475282629524366,0.0013053298811927603,0.1860441626327042,1
